"PID-- Participant ID, 4 lines per participants","Condition-- 1= Unfamiliar country eats familiar food, 2= unfamiliar country eats unfamiliar food, ","Time-- 0= pre-test, 1= post-test",GroupCountryFam,Rating-- 1(Really don't like) to 4(Really like),"FoodFam-- Which type of food children saw them with, 0= unfamiliar, 1= familiar"
117,2,0,0,3,0
117,2,1,1,4,1
117,2,0,0,3,0
117,2,1,1,4,1
117,2,0,1,3,1
117,2,0,1,3,1
118,1,1,1,4,1
118,1,0,1,4,1
118,1,0,0,1,1
118,1,1,0,1,1
119,2,0,0,3,0
119,2,0,1,3,1
120,1,0,1,4,1
120,1,1,0,2,1
120,1,0,0,3,1
120,1,1,1,3,1
121,2,0,1,4,1
121,2,1,1,4,1
121,2,0,0,4,0
121,2,1,0,4,0
122,1,1,1,4,1
122,1,0,1,4,1
122,1,1,0,4,1
122,1,0,0,4,1
123,2,1,1,4,1
123,2,1,0,4,0
123,2,0,0,3,0
123,2,0,1,3,1
241,1,1,0,4,1
241,1,1,1,4,1
241,1,0,0,4,1
241,1,0,1,4,1
242,2,0,0,3,0
242,2,1,0,3,0
242,2,0,1,3,1
242,2,1,1,4,1
243,1,1,1,4,1
243,1,0,0,3,1
243,1,0,1,4,1
243,1,1,0,3,1
244,2,1,0,1,0
244,2,0,1,4,1
244,2,1,1,4,1
244,2,0,0,1,0
245,1,1,1,4,1
245,1,0,0,4,1
245,1,0,1,1,1
245,1,1,0,4,1
246,2,1,0,3,0
246,2,1,1,4,1
246,2,0,1,4,1
246,2,0,0,3,0
247,1,1,0,4,1
247,1,0,0,4,1
247,1,1,1,4,1
247,1,0,1,3,1
248,2,1,0,1,0
248,2,1,1,4,1
248,2,0,1,3,1
248,2,0,0,4,0
249,1,1,1,4,1
249,1,0,1,3,1
249,1,1,0,2,1
249,1,0,0,2,1
250,2,1,1,4,1
250,2,1,0,4,0
250,2,0,0,3,0
250,2,0,1,3,1
251,1,0,1,2,1
251,1,0,0,3,1
251,1,1,1,4,1
251,1,1,0,2,1
253,1,1,0,2,1
253,1,1,1,4,1
253,1,0,1,4,1
253,1,0,0,3,1
254,2,0,0,4,0
254,2,1,0,2,0
254,2,0,1,3,1
254,2,1,1,3,1
255,1,0,0,3,1
255,1,0,1,4,1
255,1,1,1,4,1
255,1,1,0,2,1
256,2,1,1,4,1
256,2,0,0,4,0
256,2,1,0,4,0
256,2,0,1,4,1
257,1,1,0,3,1
257,1,0,0,3,1
257,1,0,1,4,1
257,1,1,1,4,1
258,2,1,1,3,1
258,2,0,1,2,1
258,2,1,0,2,0
258,2,0,0,1,0
259,1,0,0,3,1
259,1,0,1,4,1
259,1,1,0,3,1
259,1,1,1,4,1
260,2,0,1,4,1
260,2,1,0,3,0
260,2,1,1,1,1
260,2,0,0,4,0
261,1,1,1,4,1
261,1,1,0,3,1
261,1,0,0,3,1
261,1,0,1,4,1
263,2,0,0,4,0
263,2,1,0,3,0
263,2,0,1,4,1
263,2,1,1,4,1
264,1,0,0,3,1
264,1,0,1,4,1
264,1,1,1,4,1
264,1,1,0,2,1
265,2,1,1,4,1
265,2,0,0,2,0
265,2,0,1,4,1
265,2,1,0,3,0
266,1,1,0,1,1
266,1,0,1,4,1
266,1,1,1,4,1
266,1,0,0,1,1
267,2,1,0,3,0
267,2,1,1,4,1
267,2,0,0,3,0
267,2,0,1,3,1
268,1,1,1,3,1
268,1,1,0,3,1
268,1,0,0,3,1
268,1,0,1,3,1
269,2,1,1,4,1
269,2,1,0,4,0
